"Emissions, Carbon Dioxide from Fossil Fuel Combustion, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Transportation,1469.115528348198,1422.4977106948527,1477.7827457218748,1508.7425345540128,1554.0699121139037,1580.7956334259118,1627.4746550279667,1643.6180154757844,1679.024013248922,1746.4450650230342,1792.3011469744863,1762.572232722233,1803.117942654369,1812.0820224014772,1845.3236456333668,1858.6477035528435,1859.2155514220105,1860.8223045403513,1759.7611833772237,1688.5564947789728,1696.8514759230113,1671.2046458826244,1660.351932119092,1669.81846096583,1708.2104498123738,1719.230323312555,1759.866132323133,1782.4411009176272,1816.5633784167485,1817.2089527354108
Electricity generation,1819.9505893385,1817.3586844666013,1830.6879594436027,1906.1720738783795,1930.4684738502772,1947.1732378878783,2020.2429705095553,2087.5198032038884,2176.554625153256,2189.6658226865443,2296.171671151417,2257.203682742846,2272.2270983113667,2303.6783787819454,2335.0826618336023,2400.0574856406474,2344.395534750089,2411.137318907941,2359.3320917121573,2145.345900756452,2258.638992053367,2158.067140766553,2023.255816949146,2038.2701275465356,2037.1658489458664,1900.6373658692899,1808.8706626010835,1732.0314287644144,1752.9359729321077,1606.023694924187
Industry,853.8081491679586,839.111308440609,866.4245115946353,865.2916930476723,872.850770382943,889.9393427067453,922.9397801041761,917.7854774611733,890.7576671709771,843.1857991229515,869.5360879713976,866.8071603849341,853.2693779216095,853.1852864551928,877.0789705124217,852.8946066809845,875.7469558930445,867.449390755565,820.4563425006785,744.2374882463903,796.8242048981608,796.819285579842,806.7438076430145,834.3028354443084,814.4813160291221,797.2699566933768,792.4961865872641,790.0694891035745,813.5692824057746,822.4698311781063
Residential,338.5780195863121,347.71941860740844,353.9886911586234,366.0909232179901,357.04969938297273,353.13357659701865,383.4744354032771,365.0333458369803,331.6101545124231,350.9067724375748,371.70296269877207,363.0528296293361,361.0824932848318,380.12553522865596,369.06046924546195,358.89751072027025,321.72579599010555,341.17109704703,347.8894632427826,336.42386419877664,334.7508833071674,326.1512572236847,282.36681251000323,329.11063614919914,346.5395011597854,317.3040292000215,292.7641355539193,293.3974338793033,338.0582526458103,336.7518054364585
Commercial,228.29820057031552,232.66524286010682,228.0485950558292,222.99137006481828,224.6998770716304,227.78874033235678,237.5583729304975,237.8186612133046,220.11759737877722,220.73021491535042,236.5302211012925,228.4566359652138,229.0074766161455,240.13639509228489,237.9760512636334,227.1303710257078,211.8073568297914,223.08468983112908,227.5061920799915,228.0443123777847,224.459495598085,224.4625299123931,200.3077776528799,224.2178651737199,232.42215627418267,244.5962489456997,231.5515826423873,231.9892880474512,245.737906267832,249.690797126495
U.S. territories,21.715360883500303,21.5052607072139,23.058989178010798,24.019633553021798,25.7317490975188,23.691220214502103,22.6409154743204,23.136761554437797,22.5164983968289,21.0479368146193,42.3667569657394,52.5723613068328,49.2687948062175,55.0899627446175,56.7548917240317,55.8791078915888,54.3213442560791,50.3617932823736,40.5917970185002,39.599829107188505,34.811136887455,33.363014180116394,33.1738867190158,27.6226110869839,28.652226286024202,29.2322998439026,25.9830143081621,24.5516049172308,24.5550611263646,24.5564388260889
Total,4731.465847894784,4680.857625776792,4779.991492152577,4893.308228315895,4964.8704818992455,5022.521751164413,5214.3311294497935,5274.912064745569,5320.580555861185,5371.981611000074,5608.608846863104,5530.664902751396,5567.9731835945395,5644.297580704175,5721.276690212518,5753.506785512043,5667.21253914112,5754.026594364391,5555.5370699313335,5182.207889465565,5346.3361886672465,5210.067873545213,5006.200033593152,5123.3425363665765,5167.471498507355,5008.270223864845,4911.531714015948,4854.480345629601,4991.419853794637,4856.701520226748
